restaurant_id,restaurant_name,restaurant_address,restaurant_category_id,restaurant_image
49,소림마라(타운)-서초점,서울특별시 서초구 서초동 1555-10 B01호,2,static/img/소림마라(타운)-서초점.jpg
50,만석짬뽕전문점,서울 강남구 논현동 122-10 지상 1층,2,static/img/만석짬뽕전문점.jpg
51,몽지람,서울특별시 강남구 대치동 901-66 지하1층,2,static/img/몽지람.jpg
52,일공중식,"서울특별시 강남구 삼성동 101-9 101-9 지상2,3층",2,static/img/일공중식.jpg
53,동천홍-학동점,서울특별시 강남구 논현동 85-1 85-1 2충,2,static/img/동천홍-학동점.jpg
54,홍콩반점0410-서초교보점,서울특별시 서초구 서초동 1302-23 1302-23,2,static/img/홍콩반점0410-서초교보점.jpg
55,칠리향마라탕-선릉점,서울특별시 강남구 대치동 896-16 896-16 2층,2,static/img/칠리향마라탕-선릉점.jpg
56,한정남의샤오차이,서울 강남구 역삼동 656-33 지상1층,2,static/img/한정남의샤오차이.jpg
57,뽕사부-도곡점,"서울특별시 강남구 도곡동 424-5 424-5 지상1층, 2층",2,static/img/뽕사부-도곡점.jpg
58,홍콩반점0410-강남역점,서울특별시 강남구 역삼동 827-4 827-4 지상2층,2,static/img/홍콩반점0410-강남역점.jpg
59,홍콩가,서울특별시 서초구 반포동 738-41 738-41 1층,2,static/img/홍콩가.jpg
60,크리스탈제이드-잠원점,서울특별시 서초구 잠원동 66-2 파스텔프라자 66-2 파스텔프라자 1층,2,static/img/크리스탈제이드-잠원점.jpg
61,스시마이우-가로수길점,서울특별시 강남구 신사동 515-6 515-6 1층 101호,3,static/img/스시마이우-가로수길점.jpg
62,모미모미-역삼점,서울특별시 강남구 역삼동 738-17 738-17,3,static/img/모미모미-역삼점.jpg
63,카츠젠-선릉점,서울특별시 강남구 대치동 897-6 897-6 1층,3,static/img/카츠젠-선릉점.jpg
64,테즈쿠리벤또&라멘-서초점,서울특별시 서초구 서초동 1687-2 서초플라자 1층 107호,3,static/img/테즈쿠리벤또&라멘-서초점.jpg
65,가츠몽-서초점,서울특별시 서초구 서초동 1550-6 태림빌딩 태림빌딩,3,static/img/가츠몽-서초점.jpg
66,호랑이돈가스,"서울특별시 강남구 논현동 221-7 한양수자인 어반게이트 221-7 지하2층 제비 201,202호 주방12호",3,static/img/호랑이돈가스.jpg
67,김천재의육회반한연어,서울특별시 강남구 논현동 181-8 181-8,3,static/img/김천재의육회반한연어.jpg
68,싸다김밥-강남대로점,서울특별시 서초구 서초동 1362 서초동두산위브 1층 108호,3,static/img/싸다김밥-강남대로점.jpg
69,생생돈까스-강남점,서울 강남구 역삼동 788-1 101호,3,static/img/생생돈까스-강남점.jpg
70,카츠반프리미엄일식돈까스,"서울특별시 강남구 논현동 230-20 지상1층 1호, 2호",3,static/img/카츠반프리미엄일식돈까스.jpg
71,아비꼬 강남지웰타워점,서울특별시 서초구 서초동 1327-13 강남지웰타워 강남지웰타워,3,static/img/아비꼬 강남지웰타워점.jpg
72,난바우동-강남본점,서울특별시 강남구 논현동 198-3 198-3 1층 101호,3,static/img/난바우동-강남본점.jpg
73,파스토보이-역삼점,서울 강남구 역삼동 644-18 2층,3,static/img/파스토보이-역삼점.jpg
74,탄탄면공방-강남점,서울특별시 강남구 역삼동 826-36 신소애빌딩 826-36 신소애빌딩 1층,3,static/img/탄탄면공방-강남점.jpg
